data,negativeEdgeSampler,model,score,network,n_nodes,n_edges,averageDegree,maxDegree,degreeKurtosis,degreeSkewness,degreeVariance,degreeVariance_normalized,degreeAssortativity,globalTransitivity,localTransitivity,degreeHeterogeneity,lognorm_mu,lognorm_sigma
American75,degreeBiased,Buddy,0.7926920527818814,American75,6370,217654,68.33720565149136,930,12.455721469920464,2.163710444689689,3847.1070144836112,0.0178642357955019,0.0659587674257652,0.1635445925504867,0.2474243367995671,0.2217225792556794,50.60215564986373,0.7751904222013886
American75,degreeBiased,GAT,0.9083091346796826,American75,6370,217654,68.33720565149136,930,12.455721469920464,2.163710444689689,3847.1070144836112,0.0178642357955019,0.0659587674257652,0.1635445925504867,0.2474243367995671,0.2217225792556794,50.60215564986373,0.7751904222013886
American75,degreeBiased,GCN,0.8988437892618227,American75,6370,217654,68.33720565149136,930,12.455721469920464,2.163710444689689,3847.1070144836112,0.0178642357955019,0.0659587674257652,0.1635445925504867,0.2474243367995671,0.2217225792556794,50.60215564986373,0.7751904222013886
American75,degreeBiased,GIN,0.6352336038657727,American75,6370,217654,68.33720565149136,930,12.455721469920464,2.163710444689689,3847.1070144836112,0.0178642357955019,0.0659587674257652,0.1635445925504867,0.2474243367995671,0.2217225792556794,50.60215564986373,0.7751904222013886
American75,degreeBiased,GraphSAGE,0.8929003652895128,American75,6370,217654,68.33720565149136,930,12.455721469920464,2.163710444689689,3847.1070144836112,0.0178642357955019,0.0659587674257652,0.1635445925504867,0.2474243367995671,0.2217225792556794,50.60215564986373,0.7751904222013886
American75,degreeBiased,LinearClassifier,0.7527056834835979,American75,6370,217654,68.33720565149136,930,12.455721469920464,2.163710444689689,3847.1070144836112,0.0178642357955019,0.0659587674257652,0.1635445925504867,0.2474243367995671,0.2217225792556794,50.60215564986373,0.7751904222013886
American75,degreeBiased,MLP,0.6243915048214533,American75,6370,217654,68.33720565149136,930,12.455721469920464,2.163710444689689,3847.1070144836112,0.0178642357955019,0.0659587674257652,0.1635445925504867,0.2474243367995671,0.2217225792556794,50.60215564986373,0.7751904222013886
American75,degreeBiased,SBM,0.8138124597455633,American75,6370,217654,68.33720565149136,930,12.455721469920464,2.163710444689689,3847.1070144836112,0.0178642357955019,0.0659587674257652,0.1635445925504867,0.2474243367995671,0.2217225792556794,50.60215564986373,0.7751904222013886
American75,degreeBiased,SGTAdjacencyExp,0.7568214398223574,American75,6370,217654,68.33720565149136,930,12.455721469920464,2.163710444689689,3847.1070144836112,0.0178642357955019,0.0659587674257652,0.1635445925504867,0.2474243367995671,0.2217225792556794,50.60215564986373,0.7751904222013886
American75,degreeBiased,SGTAdjacencyNeumann,0.7659207384255264,American75,6370,217654,68.33720565149136,930,12.455721469920464,2.163710444689689,3847.1070144836112,0.0178642357955019,0.0659587674257652,0.1635445925504867,0.2474243367995671,0.2217225792556794,50.60215564986373,0.7751904222013886
American75,degreeBiased,SGTLaplacianExp,0.5596549909436891,American75,6370,217654,68.33720565149136,930,12.455721469920464,2.163710444689689,3847.1070144836112,0.0178642357955019,0.0659587674257652,0.1635445925504867,0.2474243367995671,0.2217225792556794,50.60215564986373,0.7751904222013886
American75,degreeBiased,SGTLaplacianNeumann,0.5623850028414642,American75,6370,217654,68.33720565149136,930,12.455721469920464,2.163710444689689,3847.1070144836112,0.0178642357955019,0.0659587674257652,0.1635445925504867,0.2474243367995671,0.2217225792556794,50.60215564986373,0.7751904222013886
American75,degreeBiased,SGTNormAdjacencyExp,0.8630636771387372,American75,6370,217654,68.33720565149136,930,12.455721469920464,2.163710444689689,3847.1070144836112,0.0178642357955019,0.0659587674257652,0.1635445925504867,0.2474243367995671,0.2217225792556794,50.60215564986373,0.7751904222013886
American75,degreeBiased,SGTNormAdjacencyNeumann,0.8614448848638432,American75,6370,217654,68.33720565149136,930,12.455721469920464,2.163710444689689,3847.1070144836112,0.0178642357955019,0.0659587674257652,0.1635445925504867,0.2474243367995671,0.2217225792556794,50.60215564986373,0.7751904222013886
American75,degreeBiased,adamicAdar,0.8785230114559255,American75,6370,217654,68.33720565149136,930,12.455721469920464,2.163710444689689,3847.1070144836112,0.0178642357955019,0.0659587674257652,0.1635445925504867,0.2474243367995671,0.2217225792556794,50.60215564986373,0.7751904222013886
American75,degreeBiased,commonNeighbors,0.8689662454507525,American75,6370,217654,68.33720565149136,930,12.455721469920464,2.163710444689689,3847.1070144836112,0.0178642357955019,0.0659587674257652,0.1635445925504867,0.2474243367995671,0.2217225792556794,50.60215564986373,0.7751904222013886
American75,degreeBiased,dcSBM,0.8306190277028145,American75,6370,217654,68.33720565149136,930,12.455721469920464,2.163710444689689,3847.1070144836112,0.0178642357955019,0.0659587674257652,0.1635445925504867,0.2474243367995671,0.2217225792556794,50.60215564986373,0.7751904222013886
American75,degreeBiased,deepwalk,0.8929196746285617,American75,6370,217654,68.33720565149136,930,12.455721469920464,2.163710444689689,3847.1070144836112,0.0178642357955019,0.0659587674257652,0.1635445925504867,0.2474243367995671,0.2217225792556794,50.60215564986373,0.7751904222013886
American75,degreeBiased,fastrp,0.7831149785183122,American75,6370,217654,68.33720565149136,930,12.455721469920464,2.163710444689689,3847.1070144836112,0.0178642357955019,0.0659587674257652,0.1635445925504867,0.2474243367995671,0.2217225792556794,50.60215564986373,0.7751904222013886
American75,degreeBiased,fineTunedGAT,0.915050416237887,American75,6370,217654,68.33720565149136,930,12.455721469920464,2.163710444689689,3847.1070144836112,0.0178642357955019,0.0659587674257652,0.1635445925504867,0.2474243367995671,0.2217225792556794,50.60215564986373,0.7751904222013886
