,filename,basedOn,testEdgeFraction,sampleId,negativeEdgeSampler,model,dim,trainNegativeEdgeSampler,withDegree,score,metric,data
22,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~2_negativeEdgeSampler~degreeBiased_model~node2vec_dim~128.csv,emb,0.25,2,degreeBiased,node2vec,128,,,0.9033711332094594,aucroc,Princeton12
23,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~3_negativeEdgeSampler~degreeBiased_model~node2vec_dim~128.csv,emb,0.25,3,degreeBiased,node2vec,128,,,0.9039834724893738,aucroc,Princeton12
24,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~4_negativeEdgeSampler~degreeBiased_model~node2vec_dim~128.csv,emb,0.25,4,degreeBiased,node2vec,128,,,0.9044436699064868,aucroc,Princeton12
25,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~0_negativeEdgeSampler~heart_model~node2vec_dim~128.csv,emb,0.25,0,heart,node2vec,128,,,0.6019796658534566,aucroc,Princeton12
26,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~1_negativeEdgeSampler~heart_model~node2vec_dim~128.csv,emb,0.25,1,heart,node2vec,128,,,0.6340924853172956,aucroc,Princeton12
27,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~2_negativeEdgeSampler~heart_model~node2vec_dim~128.csv,emb,0.25,2,heart,node2vec,128,,,0.6019147355333312,aucroc,Princeton12
28,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~3_negativeEdgeSampler~heart_model~node2vec_dim~128.csv,emb,0.25,3,heart,node2vec,128,,,0.597948824012587,aucroc,Princeton12
29,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~4_negativeEdgeSampler~heart_model~node2vec_dim~128.csv,emb,0.25,4,heart,node2vec,128,,,0.6011777770229656,aucroc,Princeton12
30,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~0_negativeEdgeSampler~uniform_model~deepwalk_dim~128.csv,emb,0.25,0,uniform,deepwalk,128,,,0.8226316550468415,aucroc,Princeton12
31,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~1_negativeEdgeSampler~uniform_model~deepwalk_dim~128.csv,emb,0.25,1,uniform,deepwalk,128,,,0.8215805484930667,aucroc,Princeton12
32,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~2_negativeEdgeSampler~uniform_model~deepwalk_dim~128.csv,emb,0.25,2,uniform,deepwalk,128,,,0.8208169386093045,aucroc,Princeton12
33,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~3_negativeEdgeSampler~uniform_model~deepwalk_dim~128.csv,emb,0.25,3,uniform,deepwalk,128,,,0.8213951181030579,aucroc,Princeton12
34,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~4_negativeEdgeSampler~uniform_model~deepwalk_dim~128.csv,emb,0.25,4,uniform,deepwalk,128,,,0.8245583456032893,aucroc,Princeton12
35,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~0_negativeEdgeSampler~degreeBiased_model~deepwalk_dim~128.csv,emb,0.25,0,degreeBiased,deepwalk,128,,,0.8909091330724818,aucroc,Princeton12
36,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~1_negativeEdgeSampler~degreeBiased_model~deepwalk_dim~128.csv,emb,0.25,1,degreeBiased,deepwalk,128,,,0.8910748995505661,aucroc,Princeton12
37,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~2_negativeEdgeSampler~degreeBiased_model~deepwalk_dim~128.csv,emb,0.25,2,degreeBiased,deepwalk,128,,,0.891271124940376,aucroc,Princeton12
38,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~3_negativeEdgeSampler~degreeBiased_model~deepwalk_dim~128.csv,emb,0.25,3,degreeBiased,deepwalk,128,,,0.8904417805260676,aucroc,Princeton12
39,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~4_negativeEdgeSampler~degreeBiased_model~deepwalk_dim~128.csv,emb,0.25,4,degreeBiased,deepwalk,128,,,0.891613935813172,aucroc,Princeton12
40,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~0_negativeEdgeSampler~heart_model~deepwalk_dim~128.csv,emb,0.25,0,heart,deepwalk,128,,,0.3645016976759231,aucroc,Princeton12
41,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~1_negativeEdgeSampler~heart_model~deepwalk_dim~128.csv,emb,0.25,1,heart,deepwalk,128,,,0.4173149621870564,aucroc,Princeton12
42,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~2_negativeEdgeSampler~heart_model~deepwalk_dim~128.csv,emb,0.25,2,heart,deepwalk,128,,,0.3553261498275304,aucroc,Princeton12
43,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~3_negativeEdgeSampler~heart_model~deepwalk_dim~128.csv,emb,0.25,3,heart,deepwalk,128,,,0.3610612498790327,aucroc,Princeton12
44,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~4_negativeEdgeSampler~heart_model~deepwalk_dim~128.csv,emb,0.25,4,heart,deepwalk,128,,,0.3637298190620514,aucroc,Princeton12
45,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~0_negativeEdgeSampler~uniform_model~leigenmap_dim~128.csv,emb,0.25,0,uniform,leigenmap,128,,,0.852321585008662,aucroc,Princeton12
46,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~1_negativeEdgeSampler~uniform_model~leigenmap_dim~128.csv,emb,0.25,1,uniform,leigenmap,128,,,0.8535262504183334,aucroc,Princeton12
47,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~2_negativeEdgeSampler~uniform_model~leigenmap_dim~128.csv,emb,0.25,2,uniform,leigenmap,128,,,0.8530816648476075,aucroc,Princeton12
48,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~3_negativeEdgeSampler~uniform_model~leigenmap_dim~128.csv,emb,0.25,3,uniform,leigenmap,128,,,0.8557910013055743,aucroc,Princeton12
49,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~4_negativeEdgeSampler~uniform_model~leigenmap_dim~128.csv,emb,0.25,4,uniform,leigenmap,128,,,0.8538533449197067,aucroc,Princeton12
50,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~0_negativeEdgeSampler~degreeBiased_model~leigenmap_dim~128.csv,emb,0.25,0,degreeBiased,leigenmap,128,,,0.8865190623956357,aucroc,Princeton12
51,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~1_negativeEdgeSampler~degreeBiased_model~leigenmap_dim~128.csv,emb,0.25,1,degreeBiased,leigenmap,128,,,0.8893348220793321,aucroc,Princeton12
52,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~2_negativeEdgeSampler~degreeBiased_model~leigenmap_dim~128.csv,emb,0.25,2,degreeBiased,leigenmap,128,,,0.8888805064273564,aucroc,Princeton12
53,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~3_negativeEdgeSampler~degreeBiased_model~leigenmap_dim~128.csv,emb,0.25,3,degreeBiased,leigenmap,128,,,0.8910775367618663,aucroc,Princeton12
54,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~4_negativeEdgeSampler~degreeBiased_model~leigenmap_dim~128.csv,emb,0.25,4,degreeBiased,leigenmap,128,,,0.8896187405337375,aucroc,Princeton12
55,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~0_negativeEdgeSampler~heart_model~leigenmap_dim~128.csv,emb,0.25,0,heart,leigenmap,128,,,0.4086641191400794,aucroc,Princeton12
56,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~1_negativeEdgeSampler~heart_model~leigenmap_dim~128.csv,emb,0.25,1,heart,leigenmap,128,,,0.4122483336847494,aucroc,Princeton12
57,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~2_negativeEdgeSampler~heart_model~leigenmap_dim~128.csv,emb,0.25,2,heart,leigenmap,128,,,0.3999539948676154,aucroc,Princeton12
58,data/derived/results/auc-roc/Princeton12/result_basedOn~emb_testEdgeFraction~0.25_sampleId~3_negativeEdgeSampler~heart_model~leigenmap_dim~128.csv,emb,0.25,3,heart,leigenmap,128,,,0.4053612229430424,aucroc,Princeton12
